Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,k,nut,omega,p,vtkValidPointMask
0,-4.000000e+00,2.000000e-01,2.000000e-01,4.009987e+00,1.368475e+02,4.475566e-01,4.642738e-01,1.368490e+02,0.000000e+00,5.014350e-01,5.280203e-04,9.496269e+02,1.077164e+03,1
1,-3.990500e+00,2.007000e-01,2.013500e-01,4.000614e+00,1.368008e+02,4.570842e-01,4.741242e-01,1.368024e+02,9.620967e-03,4.986640e-01,5.277885e-04,9.447821e+02,1.083382e+03,1
2,-3.981000e+00,2.014000e-01,2.027000e-01,3.991242e+00,1.367542e+02,4.666652e-01,4.840687e-01,1.367559e+02,1.924193e-02,4.958929e-01,5.275568e-04,9.399373e+02,1.089595e+03,1
3,-3.971500e+00,2.021000e-01,2.040500e-01,3.981870e+00,1.367077e+02,4.762996e-01,4.941072e-01,1.367094e+02,2.886290e-02,4.931220e-01,5.273250e-04,9.350926e+02,1.095803e+03,1
4,-3.962000e+00,2.028000e-01,2.054000e-01,3.972501e+00,1.366611e+02,4.859873e-01,5.042399e-01,1.366629e+02,3.848387e-02,4.903510e-01,5.270932e-04,9.302479e+02,1.102005e+03,1
5,-3.952500e+00,2.035000e-01,2.067500e-01,3.963132e+00,1.366147e+02,4.957281e-01,5.144663e-01,1.366165e+02,4.810460e-02,4.875801e-01,5.268614e-04,9.254034e+02,1.108203e+03,1
6,-3.943000e+00,2.042000e-01,2.081000e-01,3.953764e+00,1.365682e+02,5.055224e-01,5.247869e-01,1.365702e+02,5.772557e-02,4.848091e-01,5.266296e-04,9.205588e+02,1.114396e+03,1
7,-3.933500e+00,2.049000e-01,2.094500e-01,3.944398e+00,1.365197e+02,5.157763e-01,5.353426e-01,1.365217e+02,6.734654e-02,4.821138e-01,5.264012e-04,9.158408e+02,1.120860e+03,1
8,-3.924000e+00,2.056000e-01,2.108000e-01,3.935033e+00,1.364683e+02,5.266464e-01,5.461922e-01,1.364704e+02,7.696750e-02,4.795225e-01,5.261774e-04,9.112967e+02,1.127701e+03,1
9,-3.914500e+00,2.063000e-01,2.121500e-01,3.925669e+00,1.364170e+02,5.375755e-01,5.571436e-01,1.364192e+02,8.658846e-02,4.769313e-01,5.259536e-04,9.067527e+02,1.134536e+03,1
10,-3.905000e+00,2.070000e-01,2.135000e-01,3.916306e+00,1.363657e+02,5.485635e-01,5.681968e-01,1.363680e+02,9.620944e-02,4.743400e-01,5.257298e-04,9.022087e+02,1.141366e+03,1
11,-3.895500e+00,2.077000e-01,2.148500e-01,3.906945e+00,1.363145e+02,5.596102e-01,5.793516e-01,1.363168e+02,1.058304e-01,4.717488e-01,5.255060e-04,8.976649e+02,1.148190e+03,1
12,-3.886000e+00,2.084000e-01,2.162000e-01,3.897585e+00,1.362632e+02,5.707158e-01,5.906081e-01,1.362657e+02,1.154514e-01,4.691576e-01,5.252822e-04,8.931210e+02,1.155010e+03,1
13,-3.876500e+00,2.091000e-01,2.175500e-01,3.888226e+00,1.362121e+02,5.818802e-01,6.019661e-01,1.362146e+02,1.250723e-01,4.665664e-01,5.250584e-04,8.885771e+02,1.161824e+03,1
14,-3.867000e+00,2.098000e-01,2.189000e-01,3.878869e+00,1.361563e+02,5.940874e-01,6.136555e-01,1.361590e+02,1.346931e-01,4.641124e-01,5.248410e-04,8.842631e+02,1.169239e+03,1
